p,y
0.063817383,0
0.004442051,0
0.150928873,0
0.223016418,0
0.067777226,0
0.021761636,0
0.001412216,0
0.009001088,0
0.166158728,0
0.05862051,0
0.00268194,0
0.001648055,0
0.01871423,0
0.027674662,0
0.012029931,0
0.015738296,0
0.009151555,0
0.029527123,0
0.057653393,0
0.168831101,0
0.117526661,0
0.033224858,0
0.001009467,0
0.042661687,0
0.004516905,0
0.144321491,0
0.007321338,0
0.022779149,0
0.046477279,0
0.449333194,1
0.001107756,0
0.040051464,0
0.023412875,0
0.012452517,0
0.106419164,1
0.370048848,0
0.009141772,0
0.00448467,0
0.045291588,0
0.65069672,0
0.028479227,0
0.011727173,0
0.061117385,0
0.033361809,0
0.010647874,0
0.09423075,0
0.033776716,0
0.164606292,0
0.057057994,0
0.039925636,0
0.053761593,1
0.839416154,1
0.005428596,0
0.126298967,1
0.014772551,0
0.01346793,0
0.467742916,1
0.026631926,0
0.006231369,0
0.016840619,0
0.004591219,0
0.170797625,0
0.013652693,0
0.007834256,0
0.003643128,0
0.027078457,0
0.031005128,0
0.210243293,0
0.004887475,0
0.164900642,0
0.687210172,1
0.011964913,0
0.004612845,0
0.015508726,0
0.459122195,1
0.264638446,0
0.004181035,0
0.000337293,0
0.388504715,1
0.017930008,1
0.361316263,0
0.065597036,0
0.007697444,0
0.115529058,1
0.125655123,0
0.034731729,0
0.001492378,0
0.41247522,0
0.05488609,0
0.051620396,0
0.135598471,0
0.015728668,0
0.011737352,0
0.004681936,0
0.004328628,0
0.000778927,0
0.178184494,0
0.186145961,0
0.001596627,0
0.007842277,0
0.008715074,0
0.000498063,0
0.06137832,0
0.093702206,0
0.050120907,0
0.000666142,0
0.004396794,0
0.007753656,0
0.079243868,0
0.01188522,0
0.004079258,0
0.13043107,0
0.160044022,0
0.032569209,0
0.057739983,0
0.000840922,0
0.004433198,0
0.011224286,0
0.015635056,0
0.015171134,0
0.059935406,0
0.014984941,0
0.129256453,0
0.389082171,1
0.014340012,0
0.116937271,0
0.000103564,0
0.003057354,0
0.001807228,0
0.392773254,1
0.034951592,0
0.131825205,0
0.003002478,0
0.01169001,0
0.693380645,1
0.023060446,0
0.009394605,0
0.048646477,1
0.742384177,1
0.053435278,0
0.042889117,0
0.039381353,0
0.006504691,0
0.031260361,0
0.044287551,0
0.04779907,1
0.005087924,0
0.009535384,0
0.050448079,0
0.098484172,0
0.012656666,0
0.000972902,0
0.007463704,0
0.615728249,1
0.0208004,0
0.044180823,1
0.005152197,0
0.026998214,0
0.002430563,0
0.064571192,0
0.021817993,0
0.007723205,0
0.034016683,0
0.013720224,0
0.015591177,0
0.702574886,1
0.446007705,1
0.00435489,0
0.001142498,0
0.004042843,0
0.03404353,0
0.461236315,1
0.015739798,0
0.008329018,0
0.060375676,0
0.012067786,0
0.001154681,0
0.465471046,0
0.001620276,0
0.017863291,0
0.020036525,0
0.020349681,0
0.201545122,0
0.434515966,0
0.010834695,0
0.10645026,0
0.010007461,0
0.065773387,0
0.01162249,0
0.018342882,0
0.001932468,0
0.003131691,0
0.431453054,0
0.029329105,0
0.550127833,0
0.000591849,0
0.52986097,0
0.314086045,0
0.018551942,0
0.904546136,1
0.012112308,0
0.598629983,1
0.003996823,0
0.000726039,0
0.006262026,0
0.032519299,0
0.010194006,0
0.054621548,0
0.004926221,0
0.000392204,0
0.151421423,0
0.004988084,0
0.08399602,0
0.180718189,1
0.038595143,0
0.090613776,0
0.019212601,0
0.377350485,0
0.000507779,0
0.005506313,0
0.090857168,0
0.010044461,0
0.043491127,0
0.003174974,0
0.131644688,0
0.020617223,0
