clientid;income;sexo;Produto;age;loan;default;tempo
1;66155,93;1,00;1,00;59,02;8106,53;0,00;10,00
2;34415,15;1,00;1,00;48,12;6564,75;0,00;10,00
3;57317,17;1,00;1,00;63,11;8020,95;0,00;9,00
4;42709,53;1,00;1,00;45,75;6103,64;0,00;8,00
5;66952,69;1,00;1,00;18,58;8770,10;1,00;8,00
6;24904,06;1,00;1,00;57,47;15,50;0,00;9,00
7;48430,36;1,00;1,00;26,81;5722,58;0,00;8,00
8;24500,14;1,00;1,00;32,90;2971,00;1,00;52,00
9;40654,89;1,00;1,00;55,50;4755,83;0,00;1,00
10;25075,87;1,00;1,00;39,78;1409,23;0,00;7,00
11;64131,42;1,00;1,00;25,68;4351,03;0,00;8,00
12;59436,85;1,00;1,00;60,47;9254,24;0,00;2,00
13;61050,35;1,00;1,00;26,36;5893,26;0,00;6,00
14;27268,00;1,00;1,00;61,58;4759,79;0,00;7,00
15;63061,96;1,00;1,00;39,20;1850,37;0,00;6,00
16;50501,73;1,00;1,00;-28,22;3977,29;0,00;9,00
17;43548,65;1,00;1,00;39,57;3935,54;0,00;0,00
18;43378,18;1,00;1,00;60,85;3277,74;0,00;10,00
19;20542,37;1,00;1,00;61,69;3157,44;0,00;0,00
20;58887,36;1,00;1,00;26,08;4965,52;0,00;5,00
21;23000,78;1,00;1,00;31,76;1148,12;0,00;9,00
22;32197,62;1,00;1,00;-52,42;4244,06;0,00;4,00
23;23329,32;1,00;1,00;48,58;222,62;0,00;4,00
24;27845,80;1,00;1,00;51,97;4959,92;0,00;5,00
25;65301,98;1,00;1,00;48,84;5465,27;0,00;3,00
26;47451,63;1,00;1,00;27,03;5361,28;0,00;0,00
27;63287,04;1,00;1,00;-36,50;9595,29;0,00;10,00
28;45727,46;1,00;1,00;55,84;6376,82;0,00;4,00
29;59417,81;1,00;1,00;;2082,63;0,00;10,00
30;58842,89;1,00;1,00;54,51;10871,19;0,00;9,00
