clientid;income;sexo;Produto;age;loan;default;tempo;Prodb;ProdC
1;66156;1;prodA;59;8107;0;10;0;0
2;34415;1;prodA;48;6565;0;10;0;0
3;57317;1;prodA;63;8021;0;9;0;0
4;42710;1;prodA;46;6104;0;8;0;0
5;66953;1;prodA;19;8770;1;8;0;0
6;24904;1;prodA;57;16;0;9;0;0
7;48430;1;prodA;27;5723;0;8;0;0
8;24500;1;prodA;33;2971;1;52;0;0
9;40655;1;prodA;56;4756;0;1;0;0
10;25076;1;prodA;40;1409;0;7;0;0
11;64131;1;prodA;26;4351;0;8;0;0
12;59437;1;prodA;60;9254;0;2;0;0
13;61050;1;prodA;26;5893;0;6;0;0
14;27268;1;prodA;62;4760;0;7;0;0
15;63062;1;prodA;39;1850;0;6;0;0
16;50502;1;prodA;-28;3977;0;9;0;0
17;43549;1;prodA;40;3936;0;0;0;0
18;43378;1;prodA;61;3278;0;10;0;0
19;20542;1;prodA;62;3157;0;0;0;0
20;58887;1;prodA;26;4966;0;5;0;0
21;23001;1;prodA;32;1148;0;9;0;0
22;32198;1;prodA;-52;4244;0;4;0;0
23;23329;1;prodA;49;223;0;4;0;0
24;27846;1;prodA;52;4960;0;5;0;0
25;65302;1;prodA;49;5465;0;3;0;0
26;47452;1;prodA;27;5361;0;0;0;0
27;63287;1;prodA;-37;9595;0;10;0;0
28;45727;1;prodA;56;6377;0;4;0;0
29;59418;1;prodA;15;2083;0;10;0;0
30;58843;1;prodA;55;10871;0;9;0;0
31;48529;1;prodA;15;6156;0;3;0;0
32;23526;1;prodA;15;2862;0;4;0;0
33;67253;1;prodA;38;4221;0;1;0;0
34;58887;1;prodA;39;7272;0;0;0;0
35;57585;1;prodA;37;1728;0;5;0;0
36;26290;1;prodA;21;341;0;5;0;0
37;25952;1;prodA;58;2109;0;8;0;0
38;32464;1;prodA;50;4327;0;5;0;0
39;60921;1;prodA;19;969;0;5;0;0
40;26579;1;prodA;33;3490;1;39;0;0
41;66260;1;prodA;33;7036;0;5;0;0
42;58787;1;prodA;63;4168;0;6;0;0
43;62546;1;prodA;49;4363;0;4;0;0
44;24382;1;prodA;25;4227;1;53;0;0
45;67852;1;prodA;47;5731;0;10;0;0
46;41726;1;prodA;18;1185;0;4;0;0
47;41897;1;prodA;47;4892;0;3;0;0
48;44380;1;prodA;50;1814;0;8;0;0
49;28417;1;prodA;58;1789;0;3;0;0
50;68427;1;prodA;46;1658;0;9;0;0
51;35976;1;prodA;36;6610;0;1;0;0
52;57596;1;prodA;29;3344;0;6;0;0
53;29682;1;prodA;55;1746;0;4;0;0
54;51657;1;prodA;48;7158;0;5;0;0
55;24913;1;prodA;49;268;0;9;0;0
56;47762;1;prodA;50;5550;0;1;0;0
57;22248;1;prodA;23;4365;1;39;0;0
58;29724;1;prodA;32;3075;0;1;0;0
59;52144;1;prodA;21;2393;0;6;0;0
60;56578;1;prodA;37;5947;0;2;0;0
61;37661;1;prodA;54;2130;0;1;0;0
62;37404;1;prodA;48;2044;0;9;0;0
63;31653;1;prodA;62;5151;0;9;0;0
64;32728;1;prodA;34;1088;0;3;0;0
65;69079;1;prodA;25;4077;0;2;0;0
66;40622;1;prodA;42;4950;0;5;0;0
67;37521;1;prodA;61;8;0;0;0;0
68;30736;1;prodA;22;5947;1;13;0;0
69;24858;1;prodA;22;2692;0;6;0;0
70;33180;1;prodA;50;4622;0;1;0;0
71;66628;1;prodA;52;5993;0;7;0;0
72;38565;1;prodA;21;5604;1;29;0;0
73;33705;1;prodA;33;5898;1;15;0;0
74;57018;1;prodA;45;3507;0;5;0;0
75;40527;1;prodA;29;2120;0;7;0;0
76;50828;1;prodA;51;1766;0;7;0;0
77;40776;1;prodA;60;1923;0;6;0;0
78;55467;1;prodA;57;9227;0;6;0;0
79;38789;1;prodA;61;7651;0;2;0;0
80;58075;1;prodA;50;7388;0;1;0;0
81;57814;1;prodA;44;7252;0;0;0;0
82;45191;1;prodA;54;7894;0;4;0;0
83;36802;1;prodA;43;5406;0;9;0;0
84;68812;1;prodA;24;4211;0;9;0;0
85;30483;1;prodA;34;4514;1;6;0;0
86;44930;1;prodA;20;7708;1;59;0;0
87;43671;1;prodA;26;8067;1;13;0;0
88;27613;1;prodA;19;1514;0;10;0;0
89;53607;1;prodA;28;2379;0;6;0;0
90;33037;1;prodA;25;959;0;5;0;0
91;64276;1;prodA;61;7520;0;1;0;0
92;30674;1;prodA;59;383;0;5;0;0
93;58794;1;prodA;56;4392;0;1;0;0
94;21053;1;prodA;63;755;0;3;0;0
95;42095;1;prodA;55;1184;0;9;0;0
96;50361;1;prodA;29;4217;0;6;0;0
97;41971;1;prodA;63;1622;0;10;0;0
98;51663;1;prodA;64;4148;0;10;0;0
99;53602;1;prodA;20;9601;1;35;0;0
100;43440;1;prodA;24;6879;1;33;0;0
101;51461;1;prodA;37;7292;0;6;0;0
102;41285;1;prodA;48;2314;0;2;0;0
103;62896;1;prodA;50;2001;0;5;0;0
104;57296;1;prodA;26;10601;1;21;0;0
105;60844;1;prodA;46;12072;0;8;0;0
106;47635;1;prodA;44;142;0;5;0;0
107;23998;1;prodA;30;3928;1;57;0;0
108;63392;1;prodA;35;191;0;0;0;0
109;21535;1;prodA;44;228;0;10;0;0
110;28256;1;prodA;36;2109;0;7;0;0
111;36496;1;prodA;20;166;0;1;0;0
112;41632;1;prodA;53;106;0;10;0;0
113;68762;1;prodA;21;2797;0;8;0;0
114;30075;1;prodA;29;2629;0;2;0;0
115;41303;1;prodA;39;1380;0;7;0;0
116;39704;1;prodA;47;2403;0;2;0;0
117;63161;1;prodA;60;804;0;5;0;0
118;63062;1;prodA;27;56;0;3;0;0
119;34508;1;prodA;39;1794;0;4;0;0
120;27955;1;prodA;30;1627;0;0;0;0
121;37369;1;prodA;35;3784;0;10;0;0
122;43912;1;prodA;24;7757;1;34;0;0
123;22767;1;prodA;29;1429;0;10;0;0
124;21603;1;prodA;21;178;0;8;0;0
125;61953;1;prodA;18;3636;0;7;0;0
126;36116;1;prodA;23;1495;0;4;0;0
127;26158;1;prodA;23;2296;0;2;0;0
128;26458;1;prodA;60;552;0;9;0;0
129;69156;1;prodA;53;7365;0;5;0;0
130;39441;1;prodA;47;1035;0;1;0;0
131;60119;1;prodA;45;1811;0;5;0;0
132;55613;1;prodA;24;4255;0;10;0;0
133;37049;1;prodA;29;6057;1;5;0;0
134;23122;1;prodA;53;4263;0;0;0;0
135;48790;1;prodA;32;5519;0;0;0;0
136;59133;1;prodA;48;4576;0;6;0;0
137;55306;1;prodA;54;8177;0;2;0;0
138;26037;1;prodA;25;3293;1;60;0;0
139;64900;1;prodA;38;4654;0;9;0;0
140;27089;1;prodA;21;5029;1;48;0;0
141;45341;1;prodA;23;6525;1;26;0;0
142;24866;1;prodA;37;4439;0;5;0;0
143;28240;1;prodA;26;4190;1;58;0;0
144;52730;1;prodA;50;5706;0;4;0;0
145;28982;1;prodA;39;2899;0;0;0;0
146;36221;1;prodA;26;5095;1;21;0;0
147;33551;1;prodA;59;4333;0;5;0;0
148;43891;1;prodA;49;5793;0;10;0;0
149;45149;1;prodA;61;6455;0;7;0;0
150;58481;1;prodA;41;5381;0;8;0;0
151;69580;1;prodA;58;10868;0;0;0;0
152;52743;1;prodA;44;2685;0;6;0;0
153;65636;1;prodA;51;12702;0;1;0;0
154;34560;1;prodA;29;3318;0;6;0;0
155;60219;1;prodA;32;3158;0;7;0;0
156;51690;1;prodA;46;9882;0;10;0;0
157;47542;1;prodA;55;1611;0;2;0;0
158;62906;1;prodA;28;11424;1;51;0;0
159;65633;1;prodA;47;12498;0;8;0;0
160;31848;1;prodA;41;2914;0;3;0;0
161;27947;1;prodA;58;5514;0;4;0;0
162;62247;1;prodA;31;407;0;5;0;0
163;40155;1;prodA;61;6013;0;10;0;0
164;58628;1;prodA;33;1216;0;3;0;0
165;33441;1;prodA;28;5283;1;46;0;0
166;55604;1;prodA;44;1411;0;0;0;0
167;31046;1;prodA;29;4908;1;32;0;0
168;44708;1;prodA;21;2391;0;0;0;0
169;23340;1;prodA;43;2708;0;9;0;0
170;24830;1;prodA;29;2047;0;0;0;0
171;31423;1;prodA;54;1687;0;9;0;0
172;60477;1;prodA;60;10712;0;7;0;0
173;26039;1;prodA;49;2057;0;9;0;0
174;36187;1;prodA;51;1131;0;6;0;0
175;39772;1;prodA;44;5493;0;2;0;0
176;34730;1;prodA;63;819;0;1;0;0
177;23118;1;prodA;58;1747;0;6;0;0
